contract_id,athlete_id,team_id,start_date,end_date,base_salary_usd,signing_bonus,performance_clauses,contract_type
52,52,,2020-03-26,2025-08-02,24509202.79,9257230.13,Appearance fee: $100K per race top 3,standard
53,53,16,2022-11-17,2027-10-11,38251386.3,9022833.33,,veteran
54,54,20,2023-08-06,2027-08-09,31312187.53,8558765.99,,max
55,55,16,2020-05-15,2021-12-10,13207275.23,4022627.83,10% bonus if team reaches finals,veteran
56,56,,2020-07-23,2022-12-07,7248009.77,4668394.33,Appearance fee: $100K per race top 3,veteran
57,57,,2020-07-13,,34985621.13,7890351.19,Appearance fee: $100K per race top 3,supermax
58,58,,2021-05-25,2025-07-18,31163048.41,5915190.79,$5M bonus upon winning Grand Slam,veteran
59,59,,2021-07-16,2022-07-11,28410576.72,8183280.92,Performance incentives tied to scoring title,endorsement-linked
60,60,,2020-10-18,2021-07-19,24753719.41,1243918.42,Goal bonus: $500K per 20 goals scored,endorsement-linked
61,61,,2022-03-02,2025-07-11,12408109.95,3941612.24,Injury clause: 50% pay if >30 days missed,supermax
62,62,59,2022-05-27,2023-08-01,31215849.14,1468770.47,$5M bonus upon winning Grand Slam,max
63,63,59,2024-01-25,2025-04-07,34373009.62,6592020.91,Performance incentives tied to scoring title,rookie
64,64,,2019-10-07,2023-12-09,31841433.44,2510102.29,10% bonus if team reaches finals,veteran
65,65,,2020-05-04,2025-01-10,25152885.49,9172235.36,Goal bonus: $500K per 20 goals scored,supermax
66,66,,2020-02-19,2022-02-23,32036830.97,8652639.15,10% bonus if team reaches finals,veteran
67,67,,2023-01-12,2028-07-22,17969980.67,5553647.11,Bonus $2M for MVP award; $1M per championship win,max
68,68,,2022-02-14,2025-11-27,21090877.17,2376920.34,,rookie
69,69,,2021-10-26,2026-08-15,20245107.26,7579235.93,Championship bonus: $3M per title,max
70,70,,2019-05-15,2021-08-19,26361609.65,4410903.74,Appearance fee: $100K per race top 3,standard
71,71,,2020-08-07,,14788047.08,6365395.07,,max
72,72,,2020-02-08,2024-08-18,31535762.87,7215484.06,Appearance fee: $100K per race top 3,endorsement-linked
73,73,,2019-02-10,2021-07-23,13515680.74,6975640.19,Appearance fee: $100K per race top 3,max
74,74,,2021-07-24,2026-06-12,29599922.98,3438247.84,$5M bonus upon winning Grand Slam,max
75,75,28,2020-06-04,2025-12-06,11703934.06,7647441.88,,max
76,76,29,2023-10-10,2024-04-10,12961910.72,2614973.89,,standard
77,77,31,2019-01-18,2022-12-05,27325437.93,7775129.58,Bonus $2M for MVP award; $1M per championship win,standard
78,78,28,2022-08-15,2025-03-02,13836743.67,8755506.68,10% bonus if team reaches finals,standard
79,79,37,2019-10-21,2020-03-05,33389972.67,9542130.78,$5M bonus upon winning Grand Slam,standard
80,80,29,2022-10-20,2027-04-25,23290038.73,5054630.18,Injury clause: 50% pay if >30 days missed,supermax
